UID,id,instructorId,termId,schoolCode,number,section,type
41030-2477-87,41030,2477,87,CS,6949,01,Seminar
41265-2473-87,41265,2473,87,CS,6949,02,Seminar
41266-2473-87,41266,2473,87,CS,6949,03,Seminar
41267-3905-87,41267,3905,87,CS,6949,04,Seminar
41268-3905-87,41268,3905,87,CS,6949,05,Seminar
41269-2475-87,41269,2475,87,CS,6949,06,Seminar
41270-2475-87,41270,2475,87,CS,6949,07,Seminar
41271-2475-87,41271,2475,87,CS,6949,08,Seminar
41272-2475-87,41272,2475,87,CS,6949,09,Seminar
41273-3905-87,41273,3905,87,CS,6949,10,Seminar
39742-1525-87,39742,1525,87,CS,7180,01,Lecture
41028-3091-87,41028,3091,87,CS,7180,03,Lecture
41031-1766-87,41031,1766,87,CS,7340,01,Lecture
40986-515-87,40986,515,87,CS,7400,01,Lecture
41218-2604-87,41218,2604,87,CS,7485,01,Lecture
39093-532-87,39093,532,87,CS,7600,01,Lecture
40984-2748-87,40984,2748,87,CS,7610,01,Lecture
38369-3093-87,38369,3093,87,CS,7800,01,Lecture
40862-3130-87,40862,3130,87,CS,2000,01,Lecture
40863-3664-87,40863,3664,87,CS,2000,02,Lecture
40869-3130-87,40869,3130,87,CS,2001,01,Lab
40869-3664-87,40869,3664,87,CS,2001,01,Lab
40870-4183-87,40870,4183,87,CS,2001,02,Lab
40870-3528-87,40870,3528,87,CS,2001,02,Lab
40871-4296-87,40871,4296,87,CS,2001,03,Lab
40872-972-87,40872,972,87,CS,2001,04,Lab
39963-1571-87,39963,1571,87,CS,4100,01,Lecture
40226-3475-87,40226,3475,87,CS,4300,01,Lecture
40227-3136-87,40227,3136,87,CS,4400,01,Lecture
40990-3097-87,40990,3097,87,CS,4420,01,Lecture
40395-3423-87,40395,3423,87,CS,5010,01,Lecture
40400-4257-87,40400,4257,87,CS,5020,01,Lecture
40396-3570-87,40396,3570,87,CS,5110,01,Lecture
40186-2405-87,40186,2405,87,CS,5220,01,Lecture
40435-3097-87,40435,3097,87,CS,5230,01,Lecture
40937-3088-87,40937,3088,87,CS,5500,01,Lecture
38600-3783-87,38600,3783,87,CS,5010,01,Lecture
38637-4304-87,38637,4304,87,CS,5010,02,Lecture
38856-1112-87,38856,1112,87,CS,5120,01,Lecture
38601-3115-87,38601,3115,87,CS,5130,01,Lecture
40049-3115-87,40049,3115,87,CS,5131,01,Lab
38960-825-87,38960,825,87,CS,5150,01,Lecture
38961-825-87,38961,825,87,CS,5151,01,Lab
38602-1006-87,38602,1006,87,CS,5200,01,Lecture
38857-3358-87,38857,3358,87,CS,5210,01,Lecture
38858-3358-87,38858,3358,87,CS,5211,02,Lab
40936-1006-87,40936,1006,87,CS,5250,01,Lecture
41073-709-87,41073,709,87,CS,8660,01,Seminar
38898-3423-87,38898,3423,87,CS,1500,01,Lecture
38011-113-87,38011,113,87,CS,2000,01,Lecture
37743-2348-87,37743,2348,87,CS,4300,01,Lecture
