prof,code,lecture,workload,personality,overall,challenge,learning
Michael Weintraub,CS4500,4.2771739130434785,20.0,3.753623188405797,4.282608695652174,4.456521739130435,4.3602484472049685
Michael Weintraub,CS5500,3.9156455329431026,13.333333333333334,3.6915265546765976,3.945601352922324,3.7800868010443653,3.761744404838473
Michelle Borkin,CS4200,4.2376884715602845,17.818181818181817,3.87272980455235,4.228353912235693,3.888295114860681,4.036782658517779
Michelle Borkin,CS7280,4.208333333333334,8.0,4.0249999999999995,4.358333333333333,4.025,4.071428571428572
Ming Huo,CS5610,4.610795454545454,16.0,3.882575757575758,4.454545454545455,4.238095238095238,4.373376623376624
Ming-Chuan Wu,CS6240,3.7647068643162394,16.5,3.4351807336182336,3.70022702991453,4.031803266178266,3.9569291819291816
Mirek Riedewald,CS6240,4.301909722222222,14.5,3.8246527777777777,4.244791666666667,4.291666666666666,4.328670634920636
Mirek Riedewald,CS7290,4.803753814125331,19.428571428571427,4.428397459231017,4.862062687914082,4.692824899712063,4.752827883064351
Mitchell Wand,CS5010,4.750000000000001,20.0,4.888888888888888,4.833333333333334,4.833333333333334,4.666666666666666
Mrinal Sourav,CS6200,3.926105384073169,20.0,3.624979981354189,3.934412576363762,3.8061760884228417,3.7735645829921682
Nada Naji,CS1100,4.895833333333334,14.0,4.944444444444444,4.916666666666666,4.616666666666667,4.833333333333333
Nada Naji,CS1800,4.018975468975469,9.333333333333334,3.5426406926406924,4.132323232323232,3.978787878787879,3.9882086167800455
Nada Naji,CS2500,3.5808823529411766,8.0,3.274509803921569,3.5294117647058822,3.676470588235294,3.4942226890756305
Nada Naji,CS2510,3.8831329150269283,15.0,3.984472576685012,3.7644337322695036,4.26556304053857,4.051242203822879
Nada Naji,CS4200,3.6868945420108794,16.5,3.507126830308335,3.538222027250041,4.141556000067514,3.8415987963229186
Nada Naji,CS6200,4.080284552845529,12.0,4.33739837398374,3.9771341463414633,3.986280487804878,4.029952931108259
Naga Venkata Lakshmi Sandeep Inampudi,CS5020,4.255512889927675,14.4,3.9522183695983033,4.208144968019663,4.085930433402032,4.175113391146188
